"maxVal"	"cluster"	"correct"	"trueCluster"	"B2M.CD70.PD1.FAS.COM"	"BCL2.COMP"	"TP53.BIALLELIC"	"PI3K.MOD"	"BLC10.NOTCH2.A20.SPEN"	"CHROM.MOD.ENZYMES"	"HIST.COMP"	"NFKBALT.RASALT.JAK.STAT.ALT.RHOA.SGK1.KLH6.CD58.CD83"	"SUMC4.MUT"	"MYD88.L265"	"MYD88.OTHER"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"SV.TP63"	"SV.BCL6"	"X21Q.AMP"	"SUM.CNAS.C2"	"SUMCNAS.C5"	"X2P16.1.AMP"	"X9P21.3.DEL"	"X18Q.AMP"	"GENOME_DOUBLING"
"dlbcl_ricover_910"	0.3206	4	FALSE	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0
"dlbcl_ls2154"	0.3432	5	FALSE	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_c_d_1106_nullpair"	0.4236	1	TRUE	1	0	0	0	0	4	0	2	0	2	0	0	0	0	3	0	9	2	0	1	0	0
"dlbcl_ricover_575"	0.4314	1	TRUE	1	4	0	0	2	2	0	2	0	4	0	0	0	0	0	0	3	1	0	0	0	0
"dlbcl_ls3866"	0.4328	5	FALSE	1	0	0	0	0	2	0	2	2	4	0	0	0	0	0	0	1	0	0	0	0	0
"dlbcl_c_d_1112_nullpair"	0.438	1	TRUE	1	2	0	0	0	0	2	0	2	2	0	0	0	3	0	1	3	2	0	0	0	0
"dlbcl_ricover_181"	0.4948	1	TRUE	1	0	0	0	0	4	2	1	4	5	0	0	2	0	3	0	3	2	0	0	1	0
"dlbcl_ls3809"	0.5044	1	TRUE	1	2	0	0	0	0	0	0	0	0	0	0	4	0	3	1	3	2	0	0	1	0
"dlbcl_mc_f139_ad"	0.5164	5	FALSE	1	2	0	2	2	2	0	4	0	12	0	0	0	0	3	0	1	0	0	0	0	0
"dlbcl_ls2367"	0.5344	1	TRUE	1	2	0	0	2	0	0	1	4	5	0	0	2	0	3	0	5	2	0	0	1	0
"dlbcl_c_d_1154_nullpair"	0.5558	1	TRUE	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	1	0	0	0	0
"dlbcl_ls2595"	0.5618	1	TRUE	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_c_d_1132_nullpair"	0.562	1	TRUE	1	2	0	0	0	2	0	0	2	5	0	0	0	0	0	0	1	0	0	0	0	0
"dlbcl_bwh_dlbcl64"	0.579	5	FALSE	1	0	0	0	0	0	2	6	4	10	0	0	0	0	3	0	8	0	2	0	0	0
"dlbcl_ricover_473"	0.5796	4	FALSE	1	0	0	0	0	6	2	2	0	4	0	0	2	0	0	0	4	2	0	0	0	0
"dlbcl_ricover_826"	0.5912	1	TRUE	1	2	0	1	2	2	0	2	2	8	0	0	2	0	3	0	5	1	0	0	0	0
"dlbcl_c_d_1146_nullpair"	0.6024	3	FALSE	1	1	0	0	0	0	0	1	2	5	0	0	0	3	0	0	9	0	2	0	0	3
"dlbcl_ls2978"	0.613	1	TRUE	1	4	0	2	0	0	0	4	0	4	0	2	2	3	3	0	6	0	2	0	0	0
"dfcidl004_dt"	0.6268	1	TRUE	1	3	0	0	0	4	0	2	0	2	0	0	4	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1150"	0.6536	1	TRUE	1	5	0	0	0	0	0	1	2	3	0	0	2	0	3	1	4	2	0	0	1	0
"dlbcl_ricover_865"	0.664	1	TRUE	1	5	0	1	1	4	0	2	3	5	0	0	0	0	3	0	8	2	0	0	0	3
"dlbcl_ricover_120"	0.672	1	TRUE	1	2	0	0	0	2	2	0	0	0	0	0	2	0	3	0	4	2	0	0	0	0
"dlbcl_mc_f132_mlm"	0.6792	1	TRUE	1	0	0	0	0	4	0	2	2	4	0	2	4	0	3	0	1	0	0	0	0	0
"dfcidl001_dt"	0.683	1	TRUE	1	5	0	0	2	2	0	2	2	4	0	0	0	0	3	0	7	0	2	0	0	0
"dlbcl_ls1757"	0.6836	1	TRUE	1	4	0	1	0	2	2	0	4	4	0	2	2	3	3	0	7	0	0	0	0	0
"dlbcl_mc_f648_jkw"	0.6876	1	TRUE	1	2	0	2	0	0	0	0	2	4	0	0	0	0	3	0	4	2	0	0	0	0
"dlbcl_c_d_1155_nullpair"	0.7238	1	TRUE	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	2	0	0	0
"dlbcl_ricover_1144"	0.7266	1	TRUE	1	2	0	0	0	2	0	2	2	6	2	2	4	0	3	0	1	0	0	0	0	0
"dlbcl_ricover_829"	0.7514	1	TRUE	1	2	0	2	0	4	0	1	0	4	0	2	5	0	3	0	5	2	0	0	0	0
"dlbcl_c_d_1114_nullpair"	0.7776	1	TRUE	1	2	0	0	0	0	0	4	0	4	0	2	2	0	3	0	2	0	0	0	0	0
"dlbcl_ls378"	0.8544	1	TRUE	1	2	0	0	0	2	2	3	0	3	0	2	2	0	3	0	3	0	0	0	0	0
"dlbcl_ricover_290"	0.8562	1	TRUE	1	4	0	0	0	3	1	2	0	2	0	2	2	0	3	0	2	1	1	0	0	0
"dlbcl_c_d_1128_nullpair"	0.8876	1	TRUE	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"dlbcl_ricover_478"	0.9102	4	FALSE	1	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	6	4	0	0	1	0
"dlbcl_mayo_dlbcl_5613"	0.9134	1	TRUE	1	2	0	0	0	2	0	0	2	2	0	0	0	0	3	0	3	2	0	0	0	0
"dlbcl_ricover_694"	0.9146	1	TRUE	1	2	0	0	0	0	0	2	0	2	0	0	0	0	3	0	0	0	0	0	0	0
"dfcidl010_dt"	0.9324	1	TRUE	1	4	0	0	0	2	0	2	2	4	0	0	0	0	3	0	2	0	0	0	0	0
"dlbcl_c_d_1130_nullpair"	0.9512	1	TRUE	1	2	0	0	0	4	1	2	0	2	0	0	0	3	3	0	6	0	0	0	0	0
"dlbcl_c_d_1123_nullpair"	0.9548	1	TRUE	1	5	0	0	0	4	0	2	0	4	0	0	0	0	3	0	6	1	0	0	0	0
"dlbcl_mc_f927_jhs"	0.2988	4	FALSE	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"dlbcl_ricover_978"	0.3388	1	FALSE	2	2	0	0	2	6	4	4	0	6	0	0	0	0	0	0	7	1	1	0	0	0
